"datefloor(@timestamp - 21600000, 1h) + 21600000",total_events
2024-02-01 05:00:00.000,157
2024-02-01 04:00:00.000,266
2024-02-01 03:00:00.000,245
2024-02-01 02:00:00.000,576
2024-02-01 01:00:00.000,759
2024-02-01 00:00:00.000,371
2024-01-31 23:00:00.000,384
2024-01-31 22:00:00.000,391
2024-01-31 21:00:00.000,403
2024-01-31 20:00:00.000,379
2024-01-31 19:00:00.000,458
2024-01-31 18:00:00.000,456
2024-01-31 17:00:00.000,424
2024-01-31 16:00:00.000,425
2024-01-31 15:00:00.000,313
2024-01-31 14:00:00.000,178
2024-01-31 13:00:00.000,36
2024-01-31 12:00:00.000,16
2024-01-31 11:00:00.000,2
2024-01-31 10:00:00.000,3
2024-01-31 08:00:00.000,2
2024-01-31 07:00:00.000,8
2024-01-31 06:00:00.000,38
2024-01-31 05:00:00.000,94
2024-01-31 04:00:00.000,171
2024-01-31 03:00:00.000,253
2024-01-31 02:00:00.000,201
2024-01-31 01:00:00.000,274
2024-01-31 00:00:00.000,286
2024-01-30 23:00:00.000,263
2024-01-30 22:00:00.000,302
2024-01-30 21:00:00.000,317
2024-01-30 20:00:00.000,334
2024-01-30 19:00:00.000,366
2024-01-30 18:00:00.000,392
2024-01-30 17:00:00.000,337
2024-01-30 16:00:00.000,308
2024-01-30 15:00:00.000,243
2024-01-30 14:00:00.000,137
2024-01-30 13:00:00.000,15
2024-01-30 12:00:00.000,1
2024-01-30 08:00:00.000,3
2024-01-30 07:00:00.000,2
2024-01-30 06:00:00.000,19
2024-01-30 05:00:00.000,78
2024-01-30 04:00:00.000,151
2024-01-30 03:00:00.000,165
2024-01-30 02:00:00.000,162
2024-01-30 01:00:00.000,181
2024-01-30 00:00:00.000,204
2024-01-29 23:00:00.000,240
2024-01-29 22:00:00.000,258
2024-01-29 21:00:00.000,219
2024-01-29 20:00:00.000,219
2024-01-29 19:00:00.000,286
2024-01-29 18:00:00.000,297
2024-01-29 17:00:00.000,290
2024-01-29 16:00:00.000,278
2024-01-29 15:00:00.000,218
2024-01-29 14:00:00.000,80
2024-01-29 13:00:00.000,26
2024-01-29 12:00:00.000,5
2024-01-29 07:00:00.000,2
2024-01-29 06:00:00.000,14
2024-01-29 05:00:00.000,37
2024-01-29 04:00:00.000,47
2024-01-29 03:00:00.000,66
2024-01-29 02:00:00.000,87
2024-01-29 01:00:00.000,66
2024-01-29 00:00:00.000,62
2024-01-28 23:00:00.000,59
2024-01-28 22:00:00.000,48
2024-01-28 21:00:00.000,71
2024-01-28 20:00:00.000,69
2024-01-28 19:00:00.000,55
2024-01-28 18:00:00.000,49
2024-01-28 17:00:00.000,32
2024-01-28 16:00:00.000,31
2024-01-28 15:00:00.000,11
2024-01-28 14:00:00.000,9
2024-01-28 13:00:00.000,1
2024-01-28 12:00:00.000,1
2024-01-28 11:00:00.000,2
2024-01-28 07:00:00.000,1
2024-01-28 06:00:00.000,11
2024-01-28 05:00:00.000,16
2024-01-28 04:00:00.000,22
2024-01-28 03:00:00.000,35
2024-01-28 02:00:00.000,49
2024-01-28 01:00:00.000,31
2024-01-28 00:00:00.000,48
2024-01-27 23:00:00.000,26
2024-01-27 22:00:00.000,53
2024-01-27 21:00:00.000,76
2024-01-27 20:00:00.000,90
2024-01-27 19:00:00.000,107
2024-01-27 18:00:00.000,166
2024-01-27 17:00:00.000,129
2024-01-27 16:00:00.000,102
2024-01-27 15:00:00.000,35
2024-01-27 14:00:00.000,26
2024-01-27 13:00:00.000,3
2024-01-27 12:00:00.000,5
2024-01-27 10:00:00.000,1
2024-01-27 09:00:00.000,1
2024-01-27 07:00:00.000,1
2024-01-27 06:00:00.000,6
2024-01-27 05:00:00.000,23
2024-01-27 04:00:00.000,25
2024-01-27 03:00:00.000,42
2024-01-27 02:00:00.000,62
2024-01-27 01:00:00.000,74
2024-01-27 00:00:00.000,82
2024-01-26 23:00:00.000,112
2024-01-26 22:00:00.000,126
2024-01-26 21:00:00.000,123
2024-01-26 20:00:00.000,140
2024-01-26 19:00:00.000,187
2024-01-26 18:00:00.000,215
2024-01-26 17:00:00.000,199
2024-01-26 16:00:00.000,129
2024-01-26 15:00:00.000,95
2024-01-26 14:00:00.000,38
2024-01-26 13:00:00.000,3
2024-01-26 12:00:00.000,3
2024-01-26 08:00:00.000,1
2024-01-26 07:00:00.000,8
2024-01-26 06:00:00.000,10
2024-01-26 05:00:00.000,20
2024-01-26 04:00:00.000,39
2024-01-26 03:00:00.000,52
2024-01-26 02:00:00.000,65
2024-01-26 01:00:00.000,62
2024-01-26 00:00:00.000,81
2024-01-25 23:00:00.000,99
2024-01-25 22:00:00.000,91
2024-01-25 21:00:00.000,124
2024-01-25 20:00:00.000,122
2024-01-25 19:00:00.000,146
2024-01-25 18:00:00.000,156
2024-01-25 17:00:00.000,156
2024-01-25 16:00:00.000,115
2024-01-25 15:00:00.000,74
2024-01-25 14:00:00.000,47
2024-01-25 13:00:00.000,19
2024-01-25 12:00:00.000,7
2024-01-25 11:00:00.000,1
2024-01-25 10:00:00.000,2
2024-01-25 07:00:00.000,2
2024-01-25 06:00:00.000,3
2024-01-25 05:00:00.000,23
2024-01-25 04:00:00.000,32
2024-01-25 03:00:00.000,61
2024-01-25 02:00:00.000,61
2024-01-25 01:00:00.000,92
2024-01-25 00:00:00.000,73
2024-01-24 23:00:00.000,101
2024-01-24 22:00:00.000,670
2024-01-24 21:00:00.000,114
2024-01-24 20:00:00.000,147
2024-01-24 19:00:00.000,484
2024-01-24 18:00:00.000,236
